date,cases
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,NA
2020-03-11,NA
2020-03-12,NA
2020-03-13,2
2020-03-14,3
2020-03-15,NA
2020-03-16,7
2020-03-17,6
2020-03-18,6
2020-03-19,4
2020-03-20,9
2020-03-21,10
2020-03-22,8
2020-03-23,28
2020-03-24,44
2020-03-25,37
2020-03-26,53
2020-03-27,45
2020-03-28,18
2020-03-29,12
2020-03-30,81
2020-03-31,59
2020-04-01,72
2020-04-02,52
2020-04-03,51
2020-04-04,11
2020-04-05,3
2020-04-06,47
2020-04-07,34
2020-04-08,26
2020-04-09,37
2020-04-10,3
2020-04-11,14
2020-04-12,5
2020-04-13,25
2020-04-14,30
2020-04-15,29
2020-04-16,18
2020-04-17,15
2020-04-18,6
2020-04-19,1
2020-04-20,11
2020-04-21,15
2020-04-22,9
2020-04-23,11
2020-04-24,5
